timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558924469194,40409,HTTP Request,200,,Thread Group 1-957,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40409,0,7097
1558924469146,40470,HTTP Request,200,,Thread Group 1-941,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40470,0,7144
1558924469148,40470,HTTP Request,200,,Thread Group 1-942,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40470,0,7143
1558924468980,40643,HTTP Request,200,,Thread Group 1-875,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40643,0,7054
1558924469002,40625,HTTP Request,200,,Thread Group 1-885,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40625,0,7289
1558924469199,40434,HTTP Request,200,,Thread Group 1-959,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40434,0,7091
1558924469173,40466,HTTP Request,200,,Thread Group 1-951,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40466,0,7117
1558924468964,40684,HTTP Request,200,,Thread Group 1-868,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40684,0,7071
1558924468976,40673,HTTP Request,200,,Thread Group 1-873,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40673,0,7058
1558924469167,40485,HTTP Request,200,,Thread Group 1-949,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40485,0,7124
1558924469235,40425,HTTP Request,200,,Thread Group 1-970,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40425,0,7055
1558924469228,40435,HTTP Request,200,,Thread Group 1-964,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40435,0,7062
1558924469163,40505,HTTP Request,200,,Thread Group 1-947,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40505,0,7127
1558924469155,40514,HTTP Request,200,,Thread Group 1-943,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40514,0,7136
1558924469115,40556,HTTP Request,200,,Thread Group 1-924,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40556,0,7176
